Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615240	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MG-63	http://www.ebi.ac.uk/efo/EFO_0002234	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	bone	http://purl.obolibrary.org/obo/UBERON_0002481	MG-63	http://www.ebi.ac.uk/efo/EFO_0002234	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
SRR8615241	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Panc 02.13		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Panc 02.13		pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
SRR8615242	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-AML3	http://www.ebi.ac.uk/efo/EFO_0006289	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		OCI-AML3	http://www.ebi.ac.uk/efo/EFO_0006289	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615243	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OAW28	http://www.ebi.ac.uk/efo/EFO_0006704	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OAW28	http://www.ebi.ac.uk/efo/EFO_0006704	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615244	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NUGC-4	http://www.ebi.ac.uk/efo/EFO_0006703	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	NUGC-4	http://www.ebi.ac.uk/efo/EFO_0006703	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	Yes
SRR8615245	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW 1271		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	SW 1271		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615246	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Capan-2	http://www.ebi.ac.uk/efo/EFO_0002154	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Capan-2	http://www.ebi.ac.uk/efo/EFO_0002154	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615247	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Capan-1	http://www.ebi.ac.uk/efo/EFO_0002153	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Capan-1	http://www.ebi.ac.uk/efo/EFO_0002153	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615248	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CCF-STTG1		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	CCF-STTG1		astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8615249	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAS-1	http://purl.obolibrary.org/obo/CLO_0002200	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	CAS-1	http://purl.obolibrary.org/obo/CLO_0002200	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615250	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CFPAC-1	http://www.ebi.ac.uk/efo/EFO_0006551	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	CFPAC-1	http://www.ebi.ac.uk/efo/EFO_0006551	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615251	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CCK-81	http://purl.obolibrary.org/obo/CLO_0009956	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	CCK-81	http://purl.obolibrary.org/obo/CLO_0009956	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615252	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2073	http://www.ebi.ac.uk/efo/EFO_0006670	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2073	http://www.ebi.ac.uk/efo/EFO_0006670	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615253	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2066		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2066		squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8615254	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2052	http://www.ebi.ac.uk/efo/EFO_0002275	malignant epithelioid mesothelioma	http://www.ebi.ac.uk/efo/EFO_0006452	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	NCI-H2052	http://www.ebi.ac.uk/efo/EFO_0002275	malignant epithelioid mesothelioma	http://www.ebi.ac.uk/efo/EFO_0006452	Yes
SRR8615255	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2030	http://www.ebi.ac.uk/efo/EFO_0002274	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2030	http://www.ebi.ac.uk/efo/EFO_0002274	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615256	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2029		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2029		small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615257	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2023	http://www.ebi.ac.uk/efo/EFO_0006669	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2023	http://www.ebi.ac.uk/efo/EFO_0006669	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
SRR8615258	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2009	http://www.ebi.ac.uk/efo/EFO_0002273	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2009	http://www.ebi.ac.uk/efo/EFO_0002273	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615259	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2004RT		rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	soft tissue		NCI-H2004RT		rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	Yes
SRR8615260	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1975	http://www.ebi.ac.uk/efo/EFO_0002271	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H1975	http://www.ebi.ac.uk/efo/EFO_0002271	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615261	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H196	http://www.ebi.ac.uk/efo/EFO_0006668	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H196	http://www.ebi.ac.uk/efo/EFO_0006668	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615262	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-M1	http://www.ebi.ac.uk/efo/EFO_0006712	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		OCI-M1	http://www.ebi.ac.uk/efo/EFO_0006712	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615263	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-LY3	http://www.ebi.ac.uk/efo/EFO_0006710	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		OCI-LY3	http://www.ebi.ac.uk/efo/EFO_0006710	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615264	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-51	http://www.ebi.ac.uk/efo/EFO_0005358	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	CAL-51	http://www.ebi.ac.uk/efo/EFO_0005358	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615265	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-33	http://purl.obolibrary.org/obo/CLO_0002183	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	CAL-33	http://purl.obolibrary.org/obo/CLO_0002183	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8615266	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-29	http://purl.obolibrary.org/obo/CLO_0037157	bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	urinary tract		CAL-29	http://purl.obolibrary.org/obo/CLO_0037157	bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	Yes
SRR8615267	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-27		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	CAL-27		tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
SRR8615268	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-148	http://www.ebi.ac.uk/efo/EFO_0005357	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	breast	http://purl.obolibrary.org/obo/UBERON_0000310	CAL-148	http://www.ebi.ac.uk/efo/EFO_0005357	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
SRR8615269	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-12T	http://www.ebi.ac.uk/efo/EFO_0006547	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	lung	http://purl.obolibrary.org/obo/UBERON_0002048	CAL-12T	http://www.ebi.ac.uk/efo/EFO_0006547	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
SRR8615270	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-120	http://www.ebi.ac.uk/efo/EFO_0005356	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	breast	http://purl.obolibrary.org/obo/UBERON_0000310	CAL-120	http://www.ebi.ac.uk/efo/EFO_0005356	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
SRR8615271	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caki-2	http://www.ebi.ac.uk/efo/EFO_0002150	papillary renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000640	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Caki-2	http://www.ebi.ac.uk/efo/EFO_0002150	papillary renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000640	Yes
SRR8615272	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caki-1	http://www.ebi.ac.uk/efo/EFO_0002149	clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	Caki-1	http://www.ebi.ac.uk/efo/EFO_0002149	clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615273	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CADO-ES1	http://www.ebi.ac.uk/efo/EFO_0002818	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	bone	http://purl.obolibrary.org/obo/UBERON_0002481	CADO-ES1	http://www.ebi.ac.uk/efo/EFO_0002818	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
SRR8615274	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EC-GI-10		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	EC-GI-10		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615275	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEC-1-A	http://www.ebi.ac.uk/efo/EFO_0002191	endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	HEC-1-A	http://www.ebi.ac.uk/efo/EFO_0002191	endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615276	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEC-151		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	HEC-151		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615277	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HEC-108		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	HEC-108		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615278	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HDQ-P1		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	HDQ-P1		breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615279	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HD-MY-Z		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	hematopoietic system and lymphoid system		HD-MY-Z		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615280	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HDLM-2		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	hematopoietic system and lymphoid system		HDLM-2		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615281	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT-15	http://www.ebi.ac.uk/efo/EFO_0002188	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	HCT-15	http://www.ebi.ac.uk/efo/EFO_0002188	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615282	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCT 116	http://www.ebi.ac.uk/efo/EFO_0002824	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	HCT 116	http://www.ebi.ac.uk/efo/EFO_0002824	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615283	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC-95	http://www.ebi.ac.uk/efo/EFO_0003138	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC-95	http://www.ebi.ac.uk/efo/EFO_0003138	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8615284	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC827	http://www.ebi.ac.uk/efo/EFO_0003137	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	HCC827	http://www.ebi.ac.uk/efo/EFO_0003137	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615285	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EJM	http://www.ebi.ac.uk/efo/EFO_0006572	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		EJM	http://www.ebi.ac.uk/efo/EFO_0006572	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615286	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	lung	http://purl.obolibrary.org/obo/UBERON_0002048	EKVX	http://www.ebi.ac.uk/efo/EFO_0006786	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
SRR8615287	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EFO-27	http://www.ebi.ac.uk/efo/EFO_0006571	ovarian mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006462	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	EFO-27	http://www.ebi.ac.uk/efo/EFO_0006571	ovarian mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006462	Yes
SRR8615288	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EHEB		chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	hematopoietic system and lymphoid system		EHEB		chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Yes
SRR8615289	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EFM-19	http://www.ebi.ac.uk/efo/EFO_0002175	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	breast	http://purl.obolibrary.org/obo/UBERON_0000310	EFM-19	http://www.ebi.ac.uk/efo/EFO_0002175	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
SRR8615290	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EFO-21	http://www.ebi.ac.uk/efo/EFO_0006571	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	EFO-21	http://www.ebi.ac.uk/efo/EFO_0006571	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	Yes
SRR8615291	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EFE-184		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	EFE-184		endometrial carcinoma	http://www.ebi.ac.uk/efo/EFO_1001512	Yes
